ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
gb_a8FTEAAAQBAJ,The Moth Decides,Edward Alden Jewell,2021,Good Press,,Paperback,en,https://play.google.com/store/books/details?id=a8FTEAAAQBAJ&source=gbs_api
gb_GoLTNLNHW1MC,Rapture's Witness,"Tim LaHaye, Jerry B. Jenkins",2009,"Tyndale House Publishers, Inc.",9781414334851,Paperback,en,http://books.google.com/books?id=GoLTNLNHW1MC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_E5V4zfHYaw0C,"Harry, A History - Now Updated with J.K. Rowling Interview, New Chapter & Photos",Melissa Anelli,2008,Simon and Schuster,9781416594055,Paperback,en,https://play.google.com/store/books/details?id=E5V4zfHYaw0C&source=gbs_api
gb_zFYfflIQku4C,Evil's Edge,"Tim LaHaye, Jerry B. Jenkins",2010,"Tyndale House Publishers, Inc.",9781414334875,Paperback,en,http://books.google.com/books?id=zFYfflIQku4C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_RmLoC9dzzSwC,Deceiver's Game,"Tim LaHaye, Jerry B. Jenkins",2010,"Tyndale House Publishers, Inc.",9781414334868,Paperback,en,http://books.google.com/books?id=RmLoC9dzzSwC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_SV48BAAAQBAJ,The Left Behind Collection,"Tim LaHaye, Jerry B. Jenkins",2014,NavPress,9781496405548,Paperback,en,https://play.google.com/store/books/details?id=SV48BAAAQBAJ&source=gbs_api
gb_S7irqKiGXS4C,A Different Life,Kristal Bain,2009,AuthorHouse,9781449030568,Paperback,en,http://books.google.com/books?id=S7irqKiGXS4C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_zUKGDAAAQBAJ,French and American Noir,"Alistair Rolls, Deborah Walker",2009,Springer,9780230244825,Paperback,en,https://play.google.com/store/books/details?id=zUKGDAAAQBAJ&source=gbs_api
gb_-8c1AAAAIAAJ,As Good as it Gets,Simon Nolan,1915,Quartet Books (UK),,Paperback,en,https://play.google.com/store/books/details?id=-8c1AAAAIAAJ&source=gbs_api
gb_ok-lvcM-gFYC,National Best-Selling Short Stories,Michele W. Campanelli,2002,iUniverse,9780595238095,Paperback,en,http://books.google.com/books?id=ok-lvcM-gFYC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_oTvtAwAAQBAJ,"Race, Ethnicity and Publishing in America",C. Cottenet,2014,Springer,9781137390523,Paperback,en,https://play.google.com/store/books/details?id=oTvtAwAAQBAJ&source=gbs_api
gb_cxZt00XS_i0C,Pulp Classics,"John Betancourt, Robert Leslie Bellem, Lew Merrill",2005,Wildside Press LLC,9781557422972,Paperback,en,http://books.google.com/books?id=cxZt00XS_i0C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_nHURAAAAYAAJ,One Hundred Best Novels Condensed,"Edwin Atkins Grozier, Charles Edgar Lewis Wingate, Charles Henry Lincoln",1920,,,Paperback,en,https://play.google.com/store/books/details?id=nHURAAAAYAAJ&source=gbs_api
gb_3CbtDQAAQBAJ,Girl on the Best Seller List,Vin Packer,2011,Simon and Schuster,9781440539312,Paperback,en,https://play.google.com/store/books/details?id=3CbtDQAAQBAJ&source=gbs_api
gb_KfFlAAAAMAAJ,Best Seller,Hope C. Clarke,2003,,,Paperback,en,http://books.google.com/books?id=KfFlAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_nCCMBQAAQBAJ,Hiding Places,Erin Healy,2015,Thomas Nelson,9781401689636,Paperback,en,https://play.google.com/store/books/details?id=nCCMBQAAQBAJ&source=gbs_api
gb_WiWPAwAAQBAJ,Tough Day for the Army,John Warner,2014,LSU Press,9780807158036,Paperback,en,http://books.google.com/books?id=WiWPAwAAQBAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_4YD3h5ukOdEC,Laughs and Lessons for Real Estate Agents,Sandy Neeman-Ryter,2008,iUniverse,9781440102530,Paperback,en,https://play.google.com/store/books/details?id=4YD3h5ukOdEC&source=gbs_api
gb_g0tBAQAAMAAJ,The Cords of Vanity,James Branch Cabell,1909,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=g0tBAQAAMAAJ&source=gbs_api
gb_XroAGKO1OEgC,Fundamentals of Fiction Writing,Arthur Sullivant Hoffman,1922,,,Paperback,en,https://play.google.com/store/books/details?id=XroAGKO1OEgC&source=gbs_api
gb_NR4CF9x1o0gC,Virginia Woolf Icon,Brenda R. Silver,1999,University of Chicago Press,0226757463,Paperback,en,http://books.google.com/books?id=NR4CF9x1o0gC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_Q-E-EQAAQBAJ,The Technique of the Novel,Thomas H. Uzzell,2025,Pickle Partners Publishing,9781991341631,Paperback,en,https://play.google.com/store/books/details?id=Q-E-EQAAQBAJ&source=gbs_api
gb_PmVMw-59OlMC,His Great Adventure,Robert Herrick,1913,,,Paperback,en,https://play.google.com/store/books/details?id=PmVMw-59OlMC&source=gbs_api
gb_cxI2AQAAIAAJ,Aesthetics of the Novel,Van Meter Ames,1928,,,Paperback,en,https://play.google.com/store/books/details?id=cxI2AQAAIAAJ&source=gbs_api
gb_e-NlAAAAMAAJ,Genreflecting,"Betty Rosenberg, Diana Tixier Herald",1991,,,Paperback,en,http://books.google.com/books?id=e-NlAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_nTlbAAAAMAAJ,Options,O. Henry,1909,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=nTlbAAAAMAAJ&source=gbs_api
gb_0plZAAAAMAAJ,Story-writing,Frances Melville Perry,1926,,,Paperback,en,https://play.google.com/store/books/details?id=0plZAAAAMAAJ&source=gbs_api
gb_eF9AAAAAIAAJ,Money Writes!,Upton Sinclair,1927,Scholarly Press,,Paperback,en,https://play.google.com/store/books/details?id=eF9AAAAAIAAJ&source=gbs_api
gb_FkdGAQAAMAAJ,Beyond Life,James Branch Cabell,1919,,,Paperback,en,https://play.google.com/store/books/details?id=FkdGAQAAMAAJ&source=gbs_api
gb_4yzTAAAAMAAJ,Medieval People,Eileen Power,1924,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=4yzTAAAAMAAJ&source=gbs_api
gb_zoYoAQAAIAAJ,Between You and Me,Sir Harry Lauder,1919,McClelland & Stewart,,Paperback,en,https://play.google.com/store/books/details?id=zoYoAQAAIAAJ&source=gbs_api
gb_WDsTAAAAMAAJ,Taking the Literary Pulse,Joseph Collins,1924,"New York, George H. Doran Company [c1924]",,Paperback,en,https://play.google.com/store/books/details?id=WDsTAAAAMAAJ&source=gbs_api
gb_Jy-2DQAAQBAJ,Machine Learning,Hugh Howey,2017,HarperCollins,9781328764331,Paperback,en,https://play.google.com/store/books/details?id=Jy-2DQAAQBAJ&source=gbs_api
gb_hlI4AAAAIAAJ,Three Views of the Novel,"Library of Congress. Reference Department, Irving Stone, John O'Hara, MacKinlay Kantor",1957,,,Paperback,en,http://books.google.com/books?id=hlI4AAAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_6ZSTCwAAQBAJ,Soul at the White Heat,Joyce Carol Oates,2016,HarperCollins,9780062564535,Paperback,en,https://play.google.com/store/books/details?id=6ZSTCwAAQBAJ&source=gbs_api
gb_2lVDAQAAMAAJ,The Tidal Wave and Other Stories,Ethel May Dell,1919,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=2lVDAQAAMAAJ&source=gbs_api
gb_lhJEAQAAMAAJ,The Big-town Round-up,William MacLeod Raine,1920,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=lhJEAQAAMAAJ&source=gbs_api
gb_779JAAAAIAAJ,Art in Short Story Narration ...,Henry Albert Phillips,1913,,,Paperback,en,https://play.google.com/store/books/details?id=779JAAAAIAAJ&source=gbs_api
gb_9Kc3AAAAIAAJ,The Works of Robert Louis Stevenson,Robert Louis Stevenson,1911,,,Paperback,en,https://play.google.com/store/books/details?id=9Kc3AAAAIAAJ&source=gbs_api
gb_QenWDwAAQBAJ,Nightingale House,Steve Frech,2020,HarperCollins UK,9780008372187,Paperback,en,https://play.google.com/store/books/details?id=QenWDwAAQBAJ&source=gbs_api
gb_FiFbAAAAMAAJ,"""An Artist is His Own Fault""",John O'Hara,1977,,,Paperback,en,http://books.google.com/books?id=FiFbAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_SZFuAAAAMAAJ,Fifth Avenue,Arthur Bartlett Maurice,1918,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=SZFuAAAAMAAJ&source=gbs_api
gb_1wtBAQAAMAAJ,The Boston Cooking School Magazine of Culinary Science and Domestic Economics,Janet McKenzie Hill,1898,,,Paperback,en,https://play.google.com/store/books/details?id=1wtBAQAAMAAJ&source=gbs_api
gb_VlcOAAAAIAAJ,Fantastic Lives,Martin Harry Greenberg,1981,,,Paperback,en,http://books.google.com/books?id=VlcOAAAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_LzalpNY4lEIC,"The Presence is in Exile, Too",Hanan J. Ayalti,1997,,1881320227,Paperback,en,http://books.google.com/books?id=LzalpNY4lEIC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_TVCjvgdlogwC,Hidden Treasure,John Thomas Simpson,1919,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=TVCjvgdlogwC&source=gbs_api
gb_HsBmUGlOln0C,The Life and Romances of Mrs. Eliza Haywood,George Frisbie Whicher,1915,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=HsBmUGlOln0C&source=gbs_api
gb_rnEAAAAAYAAJ,The Mill on the Floss,George Eliot,1914,,,Paperback,en,https://play.google.com/store/books/details?id=rnEAAAAAYAAJ&source=gbs_api
gb_R0tXSu5tDUEC,Whole Lotta Trouble,Stephanie Bond,2004,Harper Collins,9780061842474,Paperback,en,http://books.google.com/books?id=R0tXSu5tDUEC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_NTNjAAAAMAAJ,Tramping on Life,Harry Kemp,1922,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=NTNjAAAAMAAJ&source=gbs_api
gb_OiIOAAAAIAAJ,Author's Digest,Rossiter Johnson,1908,,,Paperback,en,https://play.google.com/store/books/details?id=OiIOAAAAIAAJ&source=gbs_api
gb_sSmPuLOBhZUC,Authors Digest: Edmund About to Émile Zola,Rossiter Johnson,1927,,,Paperback,en,https://play.google.com/store/books/details?id=sSmPuLOBhZUC&source=gbs_api
gb_MOIQAAAAYAAJ,The Gay Cockade,Temple Bailey,1921,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=MOIQAAAAYAAJ&source=gbs_api
gb_sP9VeGC2YdYC,Edmund About to Émile Zola,Rossiter Johnson,1908,,,Paperback,en,https://play.google.com/store/books/details?id=sP9VeGC2YdYC&source=gbs_api
gb_rv0kAAAAMAAJ,Omoo,Herman Melville,1923,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=rv0kAAAAMAAJ&source=gbs_api
gb_b-sUAAAAIAAJ,Approaches and Reactions in Six Nineteenth-century Fictionists,Stockton Axson,1916,,,Paperback,en,https://play.google.com/store/books/details?id=b-sUAAAAIAAJ&source=gbs_api
gb_7b5CAQAAMAAJ,Anne's House of Dreams,Lucy Maud Montgomery,1917,,,Paperback,en,https://play.google.com/store/books/details?id=7b5CAQAAMAAJ&source=gbs_api
gb_jfIWAAAAYAAJ,Superseded,May Sinclair,1906,,,Paperback,en,https://play.google.com/store/books/details?id=jfIWAAAAYAAJ&source=gbs_api
gb_gvU0AAAAMAAJ,Wilt Thou Torchy,Sewell Ford,1917,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=gvU0AAAAMAAJ&source=gbs_api
gb_ztINAAAAYAAJ,Essays on Modern Novelists,William Lyon Phelps,1910,,,Paperback,en,https://play.google.com/store/books/details?id=ztINAAAAYAAJ&source=gbs_api
gb_h5xAAAAAIAAJ,Every Soul Hath Its Song,Fannie Hurst,1916,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=h5xAAAAAIAAJ&source=gbs_api
gb_x-uOXONVXi0C,The Heart of Rachael,Kathleen Thompson Norris,1916,Thorndike Press,0896214141,Paperback,en,https://play.google.com/store/books/details?id=x-uOXONVXi0C&source=gbs_api
gb_63Hwcaw9FcwC,Authors Digest,Rossiter Johnson,1927,,,Paperback,en,https://play.google.com/store/books/details?id=63Hwcaw9FcwC&source=gbs_api
gb_t0oeAAAAMAAJ,Mary-'Gusta,Joseph Crosby Lincoln,1916,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=t0oeAAAAMAAJ&source=gbs_api
gb_v0haAAAAMAAJ,It's Been a Good Life,Isaac Asimov,2002,,,Paperback,en,http://books.google.com/books?id=v0haAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_tw1aAAAAMAAJ,The Professor and the Profession,Robert Bechtold Heilman,1999,,,Paperback,en,http://books.google.com/books?id=tw1aAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_mTnUsi-jxD4C,101 Tips on Writing and Selling Your First Novel,Prudy Taylor Board,2003,iUniverse,0595293131,Paperback,en,http://books.google.com/books?id=mTnUsi-jxD4C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_ZkZDAQAAMAAJ,The Complete Works of O. Henry,O. Henry,1911,,,Paperback,en,https://play.google.com/store/books/details?id=ZkZDAQAAMAAJ&source=gbs_api
gb_i7pNAAAAMAAJ,The Fiction Writer's Research Handbook,Mona McCormick,1988,Plume Books,,Paperback,en,http://books.google.com/books?id=i7pNAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_9CckAQAAMAAJ,Where Am I Now - when I Need Me?,George Axelrod,1971,,,Paperback,en,http://books.google.com/books?id=9CckAQAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_4RRBAQAAIAAJ,The Only True History: Collected Interviews and Other Pieces,Terry Coleman,1969,,,Paperback,en,http://books.google.com/books?id=4RRBAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_m9QbAQAAIAAJ,"Popular World Fiction, 1900-present: A-De","Walton Beacham, Suzanne Niemeyer",1987,Beacham Publishing Corporation,,Paperback,en,http://books.google.com/books?id=m9QbAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_rrxWAAAAYAAJ,Beacham's Encyclopedia of Popular Fiction,Kirk H. Beetz,1996,,,Paperback,en,http://books.google.com/books?id=rrxWAAAAYAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_kWcqAQAAIAAJ,"Popular World Fiction, 1900-present: Do-La","Walton Beacham, Suzanne Niemeyer",1987,,,Paperback,en,http://books.google.com/books?id=kWcqAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_ygQIAQAAMAAJ,Snow Falling on Cedars,"Ronald Bass, Scott Hicks, Kathleen Kennedy",1999,Newmarket Shooting Scripts,,Paperback,en,http://books.google.com/books?id=ygQIAQAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_R_bJKVWXvQ8C,Sacrifice,Harold Carlton,1991,Bantam,0553353268,Paperback,en,http://books.google.com/books?id=R_bJKVWXvQ8C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_9qEWAAAAYAAJ,The Fiction Factory,William Wallace Cook,1912,,,Paperback,en,https://play.google.com/store/books/details?id=9qEWAAAAYAAJ&source=gbs_api
gb_DRaFAAAAIAAJ,The Creative Writer's Handbook,Isabelle Ziegler,1975,HarperResource,,Paperback,en,http://books.google.com/books?id=DRaFAAAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_bYzxLtaNOdsC,The Proving,Thomas Szollosi,1989,Avon Books,0380707888,Paperback,en,http://books.google.com/books?id=bYzxLtaNOdsC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_pf8pAAAAYAAJ,The Failure of Feminism,Nicholas Davidson,1988,,,Paperback,en,http://books.google.com/books?id=pf8pAAAAYAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_DvBcAAAAMAAJ,I Spit on Your Graves,Boris Vian,2001,Canongate Books,,Paperback,en,http://books.google.com/books?id=DvBcAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_MP4OAQAAMAAJ,Edgar Rice Burroughs,Erling B. Holtsmark,1986,Boston : Twayne Publishers,,Paperback,en,http://books.google.com/books?id=MP4OAQAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_83FnDht2SBAC,Dead Matter,Steven Frimmer,1983,John Curley & Associates,0893405728,Paperback,en,http://books.google.com/books?id=83FnDht2SBAC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_Vb1kAAAAMAAJ,The Complete Guide to Editing Your Fiction,Michael Seidman,2000,Writers Digest Books,,Paperback,en,http://books.google.com/books?id=Vb1kAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_n3ztAAAAMAAJ,Certain Success,Norval Abiel Hawkins,1920,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=n3ztAAAAMAAJ&source=gbs_api
gb_lBwVQ3xFaD8C,What Do I Read Next? 1995,"Barron, Steven A. Stilwell",1995,Gale / Cengage Learning,0810391465,Paperback,en,http://books.google.com/books?id=lBwVQ3xFaD8C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_0tmU6V2h5SMC,Wise and Otherwise,Isabella Macdonald Alden,1996,Living Books,0842331832,Paperback,en,http://books.google.com/books?id=0tmU6V2h5SMC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_K4onAQAAMAAJ,Complete Collected Essays,Victor Sawdon Pritchett,1991,,,Paperback,en,http://books.google.com/books?id=K4onAQAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_C1AgAQAAIAAJ,Laugh Lines,Ben Bova,2008,,,Paperback,en,http://books.google.com/books?id=C1AgAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_hyVqB1Eg1g4C,This Incredible Century,Norman Vincent Peale,1993,,0842370935,Paperback,en,http://books.google.com/books?id=hyVqB1Eg1g4C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_VcEbAQAAIAAJ,The Complete Guide to Writing Fiction,Barnaby Conrad,1990,,,Paperback,en,http://books.google.com/books?id=VcEbAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_GhO5mxH6RgEC,Four Girls at Chautauqua,Isabella Macdonald Alden,1996,Living Books,0842331867,Paperback,en,http://books.google.com/books?id=GhO5mxH6RgEC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_GLllAAAAMAAJ,The Dreaming Game,Philip B. Kunhardt,2004,,,Paperback,en,http://books.google.com/books?id=GLllAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_FknQAAAAMAAJ,Marriage À la Mode,Mrs. Humphry Ward,1909,,,Paperback,en,https://play.google.com/store/books/details?id=FknQAAAAMAAJ&source=gbs_api
gb_U7iwAAAAIAAJ,Simple Speaks His Mind,Langston Hughes,1976,,,Paperback,en,http://books.google.com/books?id=U7iwAAAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_us5aAAAAMAAJ,The Early Simple Stories,Langston Hughes,2002,,,Paperback,en,http://books.google.com/books?id=us5aAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_HMZZAAAAMAAJ,"First Person; Conversations on Writers & Writing with Glenway Wescott, John Dos Passos, Robert Penn Warren, John Updike, John Barth, Robert Coover",Frank Gado,1973,,,Paperback,en,http://books.google.com/books?id=HMZZAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_bt5ZAAAAMAAJ,The Rise of American Jewish Literature,"Charles Angoff, Meyer Levin",1970,Simon & Schuster,,Paperback,en,http://books.google.com/books?id=bt5ZAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_CRNbAAAAMAAJ,Correspondent Colorings,Sheila Post-Lauria,1996,,,Paperback,en,http://books.google.com/books?id=CRNbAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_z1WU-lx4WVkC,Second Chance,Jerome Dyson Wright,1986,,0870678345,Paperback,en,http://books.google.com/books?id=z1WU-lx4WVkC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_XTEeAQAAIAAJ,Skin of the Soul,Lisa Tuttle,1990,,,Paperback,en,http://books.google.com/books?id=XTEeAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_U5Oqc5PGrmkC,American Icon,Pat Booth,2000,,1575665646,Paperback,en,http://books.google.com/books?id=U5Oqc5PGrmkC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_z1F5VGhmFTkC,Born to the Brand,D. B. Newton,2003,,0843952466,Paperback,en,http://books.google.com/books?id=z1F5VGhmFTkC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_f0dZAAAAMAAJ,Master Class,Paul West,2001,Houghton Mifflin,,Paperback,en,http://books.google.com/books?id=f0dZAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_d9kYAAAAYAAJ,The Little Grey House,Marion Ames Taggart,1904,Createspace Independent Publishing Platform,,Paperback,en,https://play.google.com/store/books/details?id=d9kYAAAAYAAJ&source=gbs_api
gb_Wp2wAAAAIAAJ,In Such a Night,Babette Deutsch,1927,,,Paperback,en,https://play.google.com/store/books/details?id=Wp2wAAAAIAAJ&source=gbs_api
gb_XBxAAAAAYAAJ,The Doctor Looks at Literature,Joseph Collins,1923,Kennikat Press,,Paperback,en,https://play.google.com/store/books/details?id=XBxAAAAAYAAJ&source=gbs_api
gb_fD0xAQAAIAAJ,Narrative Technique,"Thomas H. Uzzell, Walter B. Pitkin",1923,,,Paperback,en,https://play.google.com/store/books/details?id=fD0xAQAAIAAJ&source=gbs_api
gb_ODngAAAAMAAJ,Standard Catalog for Public Libraries,H.W. Wilson Company,1977,,,Paperback,en,http://books.google.com/books?id=ODngAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
